PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Id :  114363509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Date:  1/2/2020 to 1/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment Due Date : ,,,,2/10/2020
Settlement Currency : ,,,,USD,,Transaction Currency : ,,,,,,,NGN,,,,,,,,,,,,,,,,,,,
,,,,,,,Tran,Orig,,Rcv,,,,,,,FX,,,,,,,,,Fx Rev,,,Commission,,,
Tran Date,Tran Id,,,Ref #,,Prod,Type,Cntry,,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,,Fee Amt,,,,Share Amt,,,Amt,,,Total
,,Agent Name : ,,,FCMB - #001 - LAGOS - HEAD OFFICE BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,652825,,,,,Store Number : ,,,,001,,,,,,,,,,,,,,,,,,
1/8/2020,2267023968,,,57999114,,MT,REC,USA,,NGA,,355.00000000000,,,,1/3/2020,6.81,,trn,0.00,"1,771.45",,,,(116.96),,,,(318.86),,,(435.82)
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,(0.33),,,,(0.90),,,(1.23)
1/8/2020,2267023968,,,57999114,,MT,REC,USA,,NGA,,355.00000000000,,,,1/3/2020,6.81,,trn,0.00,0.00,,,,0.00,,,,5.85,,mk,5.85
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
1/8/2020,2267023968,,,57999114,,MT,REC,USA,,NGA,,355.00000000000,,,,1/3/2020,6.81,,trn,0.00,0.00,,,,0.00,,,,15.94,,mk,15.94
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.04,,,0.04
1/15/2020,2270548228,,,74898526,,MT,SEN,NGA,,UKR,,.00281690141,,,,1/15/2020,2.00,,trn,0.00,0.00,,,,(280.00),,,,14.00,,mk,(266.00)
,,,,,,,,,,,,.00281690141,,,,1/15/2020,,,stl,0.00,0.00,,,,(0.79),,,,0.04,,,(0.75)
1/22/2020,2272012083,,,42140730,,MT,REC,USA,,NGA,,355.00000000000,,,,1/20/2020,1.25,,trn,0.00,"3,546.45",,,,(22.19),,,,(638.36),,,(660.55)
,,,,,,,,,,,,.00281690141,,,,1/22/2020,,,stl,0.00,0.00,,,,(0.06),,,,(1.80),,,(1.86)
1/22/2020,2272012083,,,42140730,,MT,REC,USA,,NGA,,355.00000000000,,,,1/20/2020,1.25,,trn,0.00,0.00,,,,0.00,,,,31.92,,mk,31.92
,,,,,,,,,,,,.00281690141,,,,1/22/2020,,,stl,0.00,0.00,,,,0.00,,,,0.09,,,0.09
1/28/2020,2273282328,,,75594656,,MT,REC,USA,,NGA,,355.00000000000,,,,1/24/2020,0.45,,trn,0.00,"2,840.00",,,,(31.95),,,,(511.20),,,(543.15)
,,,,,,,,,,,,.00281690141,,,,1/28/2020,,,stl,0.00,0.00,,,,(0.09),,,,(1.44),,,(1.53)
1/28/2020,2273282328,,,75594656,,MT,REC,USA,,NGA,,355.00000000000,,,,1/24/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,1/28/2020,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
Account Number : ,,,100711693 - 100712849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,FCMB - #002 - ABUJA - ABUJA BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,653997,,,,,Store Number : ,,,,002,,,,,,,,,,,,,,,,,,
1/13/2020,2268994466,,,32244060,,MT,REC,ITA,,NGA,,394.22750000000,,,,1/10/2020,2.00,,trn,0.00,"5,519.19",,,,(473.07),,,,(993.45),,,"(1,466.52)"
,,,,,,,,,,,,.00281690141,,,,1/13/2020,,,stl,0.00,0.00,,,,(1.33),,,,(2.80),,,(4.13)
1/13/2020,2268994466,,,32244060,,MT,REC,ITA,,NGA,,394.22750000000,,,,1/10/2020,2.00,,trn,0.00,0.00,,,,0.00,,,,49.67,,mk,49.67
,,,,,,,,,,,,.00281690141,,,,1/13/2020,,,stl,0.00,0.00,,,,0.00,,,,0.14,,,0.14
1/13/2020,2268994466,,,32244060,,MT,REC,ITA,,NGA,,394.22750000000,,,,1/10/2020,2.00,,trn,0.00,0.00,,,,0.00,,,,23.65,,mk,23.65
,,,,,,,,,,,,.00281690141,,,,1/13/2020,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
1/16/2020,2270360953,,,29430550,,MT,REC,USA,,NGA,,355.00000000000,,,,1/14/2020,0.45,,trn,0.00,"2,840.00",,,,(73.49),,,,(511.20),,,(584.69)
,,,,,,,,,,,,.00281690141,,,,1/16/2020,,,stl,0.00,0.00,,,,(0.21),,,,(1.44),,,(1.65)
1/16/2020,2270360953,,,29430550,,MT,REC,USA,,NGA,,355.00000000000,,,,1/14/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,1/16/2020,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
1/16/2020,2270360953,,,29430550,,MT,REC,USA,,NGA,,355.00000000000,,,,1/14/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,3.67,,mk,3.67
,,,,,,,,,,,,.00281690141,,,,1/16/2020,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
1/21/2020,2272010298,,,83688591,,MT,REC,HUN,,NGA,,1.16957137730,,,,1/20/2020,2.00,,trn,0.00,"4,444.37",,,,(204.21),,,,(799.99),,,"(1,004.20)"
,,,,,,,,,,,,.00281690141,,,,1/21/2020,,,stl,0.00,0.00,,,,(0.58),,,,(2.25),,,(2.83)
1/21/2020,2272010298,,,83688591,,MT,REC,HUN,,NGA,,1.16957137730,,,,1/20/2020,2.00,,trn,0.00,0.00,,,,0.00,,,,10.21,,mk,10.21
,,,,,,,,,,,,.00281690141,,,,1/21/2020,,,stl,0.00,0.00,,,,0.00,,,,0.03,,,0.03
1/21/2020,2272010298,,,83688591,,MT,REC,HUN,,NGA,,1.16957137730,,,,1/20/2020,2.00,,trn,0.00,0.00,,,,0.00,,,,40.00,,mk,40.00
,,,,,,,,,,,,.00281690141,,,,1/21/2020,,,stl,0.00,0.00,,,,0.00,,,,0.11,,,0.11
1/22/2020,2272519700,,,17675189,,MT,SEN,NGA,,GNQ,,1.66660630209,,,,1/22/2020,2.00,,trn,0.00,0.00,,,,"(1,000.00)",,,,50.00,,mk,(950.00)
,,,,,,,,,,,,.00281690141,,,,1/22/2020,,,stl,0.00,0.00,,,,(2.82),,,,0.14,,,(2.68)
1/23/2020,2271277785,,,29657535,,MT,REC,USA,,NGA,,355.00000000000,,,,1/17/2020,0.45,,trn,0.00,"2,840.00",,,,(63.90),,,,(511.20),,,(575.10)
,,,,,,,,,,,,.00281690141,,,,1/23/2020,,,stl,0.00,0.00,,,,(0.18),,,,(1.44),,,(1.62)
1/23/2020,2271277785,,,29657535,,MT,REC,USA,,NGA,,355.00000000000,,,,1/17/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,3.20,,mk,3.20
,,,,,,,,,,,,.00281690141,,,,1/23/2020,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
1/23/2020,2271277785,,,29657535,,MT,REC,USA,,NGA,,355.00000000000,,,,1/17/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,1/23/2020,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
1/28/2020,2273705600,,,15584987,,MT,REC,USA,,NGA,,355.00000000000,,,,1/26/2020,0.45,,trn,0.00,"2,840.00",,,,(47.93),,,,(511.20),,,(559.13)
,,,,,,,,,,,,.00281690141,,,,1/28/2020,,,stl,0.00,0.00,,,,(0.14),,,,(1.44),,,(1.58)
1/28/2020,2273705600,,,15584987,,MT,REC,USA,,NGA,,355.00000000000,,,,1/26/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,1/28/2020,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
1/28/2020,2273705600,,,15584987,,MT,REC,USA,,NGA,,355.00000000000,,,,1/26/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,2.40,,mk,2.40
,,,,,,,,,,,,.00281690141,,,,1/28/2020,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
1/28/2020,2274192046,,,75591177,,MT,SEN,NGA,,ESP,,.00255663588,,,,1/28/2020,2.00,,trn,0.00,0.00,,,,(480.00),,,,24.00,,mk,(456.00)
,,,,,,,,,,,,.00281690141,,,,1/28/2020,,,stl,0.00,0.00,,,,(1.35),,,,0.07,,,(1.28)
1/28/2020,2274192489,,,60428847,,MT,SEN,NGA,,ESP,,.00255663588,,,,1/28/2020,2.00,,trn,0.00,0.00,,,,(630.40),,,,31.52,,mk,(598.88)
,,,,,,,,,,,,.00281690141,,,,1/28/2020,,,stl,0.00,0.00,,,,(1.78),,,,0.09,,,(1.69)
1/30/2020,2274457650,,,71216634,,MT,REC,GIN,,NGA,,355.00000000000,,,,1/29/2020,0.60,,trn,0.00,"9,585.00",,,,(102.24),,,,"(1,725.30)",,,"(1,827.54)"
,,,,,,,,,,,,.00281690141,,,,1/30/2020,,,stl,0.00,0.00,,,,(0.29),,,,(4.86),,,(5.15)
1/30/2020,2274457650,,,71216634,,MT,REC,GIN,,NGA,,355.00000000000,,,,1/29/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,5.11,,mk,5.11
,,,,,,,,,,,,.00281690141,,,,1/30/2020,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
1/30/2020,2274457650,,,71216634,,MT,REC,GIN,,NGA,,355.00000000000,,,,1/29/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,86.27,,mk,86.27
,,,,,,,,,,,,.00281690141,,,,1/30/2020,,,stl,0.00,0.00,,,,0.00,,,,0.24,,,0.24
100711693 - 100712849,,,,,,,,,Account Total:,,,,,Send,,,,3,,0.00,0.00,,,,"(2,110.40)",,,,105.52,,"(2,004.88)",
,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,(5.95),,,,0.30,,(5.65),
,,,,,,,,,,,,,,Receive,,,,6,,0.00,0.00,,,,(964.84),,,,"(4,751.48)",,"(5,716.32)",
,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,(2.73),,,,(13.39),,(16.12),
,,,,,,,,,,,,,,,,,,,,,,,,,,,Account Net Due : ,,,(21.77),,
Account Number : ,,,100711693 - 100712850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,FCMB - #003 - PORTHARCOURT - PORT HARCOURT BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,653998,,,,,Store Number : ,,,,003,,,,,,,,,,,,,,,,,,
1/6/2020,2266465764,,,21619153,,MT,REC,USA,,NGA,,355.00000000000,,,,1/1/2020,0.45,,trn,0.00,"2,840.00",,,,(31.95),,,,(511.20),,,(543.15)
,,,,,,,,,,,,.00281690141,,,,1/6/2020,,,stl,0.00,0.00,,,,(0.09),,,,(1.44),,,(1.53)
1/6/2020,2266465764,,,21619153,,MT,REC,USA,,NGA,,355.00000000000,,,,1/1/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,1/6/2020,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
1/6/2020,2266745166,,,84675103,,MT,REC,USA,,NGA,,355.00000000000,,,,1/2/2020,0.45,,trn,0.00,"2,485.00",,,,(31.95),,,,(447.30),,,(479.25)
,,,,,,,,,,,,.00281690141,,,,1/6/2020,,,stl,0.00,0.00,,,,(0.09),,,,(1.26),,,(1.35)
1/6/2020,2266745166,,,84675103,,MT,REC,USA,,NGA,,355.00000000000,,,,1/2/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,22.37,,mk,22.37
,,,,,,,,,,,,.00281690141,,,,1/6/2020,,,stl,0.00,0.00,,,,0.00,,,,0.06,,,0.06
1/8/2020,2268017301,,,24865714,,MT,REC,USA,,NGA,,355.00000000000,,,,1/6/2020,0.45,,trn,0.00,"1,420.00",,,,(15.98),,,,(255.60),,,(271.58)
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,(0.05),,,,(0.72),,,(0.77)
1/8/2020,2268017301,,,24865714,,MT,REC,USA,,NGA,,355.00000000000,,,,1/6/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,12.78,,mk,12.78
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.04,,,0.04
1/29/2020,2273839647,,,51753816,,MT,REC,CYP,,NGA,,391.56500000000,,,,1/27/2020,1.20,,trn,0.00,"6,265.04",,,,(140.96),,,,"(1,127.71)",,,"(1,268.67)"
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,(0.40),,,,(3.18),,,(3.58)
1/29/2020,2273839647,,,51753816,,MT,REC,CYP,,NGA,,391.56500000000,,,,1/27/2020,1.20,,trn,0.00,0.00,,,,0.00,,,,7.05,,mk,7.05
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
1/29/2020,2273839647,,,51753816,,MT,REC,CYP,,NGA,,391.56500000000,,,,1/27/2020,1.20,,trn,0.00,0.00,,,,0.00,,,,56.39,,mk,56.39
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,0.00,,,,0.16,,,0.16
1/29/2020,2274075174,,,34644321,,MT,REC,USA,,NGA,,355.00000000000,,,,1/27/2020,0.45,,trn,0.00,"2,840.00",,,,(57.51),,,,(511.20),,,(568.71)
