PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,USD,,,Transaction Currency : ,,,,,,NGN,,,,,,,,,,,,,,,
,,,,,,,,,Orig,Rcv,,,,,,,FX,,,,,,,Fx Rev,,,,
Tran Date,,Tran Id,,,,Ref #,,Prod,Cntry,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,Fee Amt,,,Share Amt,Commission Amt,,,Total
,Agent Name : ,,,,FCMB - #001 - LAGOS - HEAD OFFICE BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,652825,,,,,Store Number : ,,,,001,,,,,,,,,,,,,,
12/20/2019,,2262444617,,,,80295305,,MT,NGA,UKR,,.00281690141,,,,12/20/2019,2.00,,trn,"50,000.00","1,000.00",,(200.00),,,(180.00),,(380.00)
,,,,,,,,,,,,.00281690141,,,,12/20/2019,,,stl,140.85,2.82,,(0.56),,,(0.51),,(1.07)
12/20/2019,,2262444617,,,,80295305,,MT,NGA,UKR,,.00281690141,,,,12/20/2019,2.00,,trn,0.00,0.00,,0.00,,,9.00,mk,9.00
,,,,,,,,,,,,.00281690141,,,,12/20/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
12/20/2019,,2262444617,,,,80295305,,MT,NGA,UKR,,.00281690141,,,,12/20/2019,2.00,,trn,0.00,0.00,,0.00,,,10.00,mk,10.00
,,,,,,,,,,,,.00281690141,,,,12/20/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"50,000.00","1,000.00",,(200.00),,,(161.00),(361.00),
,,,,,,,,,,,,,,,,,,,,140.85,2.82,,(0.56),,,(0.45),(1.01),
Account Number : ,,,100711693 - 100712851,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #004 - KANO  - KANO BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,653999,,,,,Store Number : ,,,,004,,,,,,,,,,,,,,
12/4/2019,,2257197409,,,,61074235,,MT,NGA,GIN,,.00281690141,,,,12/4/2019,,,trn,"42,600.00","5,500.00",,0.00,,,(990.00),,(990.00)
,,,,,,,,,,,,.00281690141,,,,12/4/2019,,,stl,120.00,15.49,,0.00,,,(2.79),,(2.79)
