,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receive  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,,,USD,,,,Transaction Currency : ,,,,,,,,,,,,,NGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Orig,,,,Rcv,,,,,,,,,,FX,,,,,,,,,,,,,,,,,,,Fx Rev,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tran Date,,,Tran Id,,,,,Ref #,,,Prod,,,Cntry,,,,Cntry,,,FX Rate,,,,FX Date,,,Margin,,,,,,Base Amt,,,,,,Fee Amt,,,,,,,Share Amt,,,,Commission Amt,,,,,,,Total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Number : ,,,,100711693 - 100712924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,,,FCMB - #058 - IBADAN - IBADAN BODIJA BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,,,654052,,,,,,,,,Store Number : ,,,,,,,,058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,"(595,959.51)",,,,,,"22,727.10",,,,,"(1,399.47)",,,,,,,"(3,817.07)",,,,"(5,216.54)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1,678.76)",,,,,,0.00,,,,,(3.94),,,,,,,(10.74),,,,(14.68),,,
03/29/18,,,2052917445,,,,,88584806,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/28/18,,,0.47,,,trn,,,,,"(17,666.58)",,,"1,771.45",,,,,,,(16.69),,,,,,,(318.86),,,,,(335.55),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/29/18,,,,,,stl,,,,,(49.77),,,0.00,,,,,,,(0.05),,,,,,,(0.90),,,,,(0.95),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/18,,,2052917445,,,,,88584806,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/28/18,,,0.47,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,15.94,,mk,,,15.94,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/29/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.04,,,,,0.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/18,,,2053017288,,,,,44200172,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/29/18,,,1.10,,,trn,,,,,"(87,773.75)",,,"2,836.45",,,,,,,(195.25),,,,,,,(510.56),,,,,(705.81),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/29/18,,,,,,stl,,,,,(247.25),,,0.00,,,,,,,(0.55),,,,,,,(1.44),,,,,(1.99),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/18,,,2053017288,,,,,44200172,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/29/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/29/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/18,,,2053017288,,,,,44200172,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/29/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,9.76,,mk,,,9.76,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/29/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.03,,,,,0.03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,"(105,440.33)",,,,,,"4,607.90",,,,,(211.94),,,,,,,(778.19),,,,(990.13),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(297.02),,,,,,0.00,,,,,(0.60),,,,,,,(2.20),,,,(2.80),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account   100711693 - 100712924 Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,"(3,071,498.45)",,,,,,"109,149.43",,,,,"(7,717.06)",,,,,,,"(18,289.15)",,,,"(26,006.21)",,,
