MTCN	TransactionType	Code	PayCountry	RecCountry	Account	Location_ID	LocationName	Direction	Address	LOCCurrencyCode	RecDateUSYear	RecDateUSMonth	RecDateUSDay	RecDateLOCYear	RecDateLOCMonth	RecDateLOCDay	PayDateUSYear	PayDateUSMonth	PayDateUSDay	PayDateLOCYear	PayDateLOCMonth	PayDateLOCDay	SetDateUSYear	SetDateUSMonth	SetDateUSDay	SetDateLOCYear	SetDateLOCMonth	SetDateLOCDay	RepDateYear	RepDateMonth	RepDateDay	RecPayoutRate	PayPayoutRate	RecSettlementRate	PaySettlementRate	ClearPrincipalUSD	ClearChargesUSD	ClearFXUSD	ClearFXREC	ClearPrincipalLOC	ClearChargesLOC	ClearFXLOC	ClearPrincipalPAY	ClearChargesPAY	ClearFXPAY	RecPrincipalUSD	TotalChargesUSD	RecPrincipalLOC	RecCurrencyCode	PayCurrencyCode	RecPrincipalREC	RecPrincipalPAY	TotalChargesREC	TotalChargesPAY	ClearPrincipalREC	ClearChargesREC	TotalChargesLOC	Spread	SendPayIndicator	ProductCode	ProductGroupName	AdjustmentMTCN	AdjustmentReason	AdjustmentType	AdjustmentReasonCode	AdjustmentTypeCode	TxnStatus
9493753732	A	NGN	LATVIA	NIGERIA	ADH151745	220	FCMB - #189 - WUSE ZONE 4 ABUJA - ZONE 4	O	ZONE 4 Plot 532, IBB Way, Wuse 4	NGN	2019	8	26	2019	8	26	0	0	0	0	0	0	2019	8	27	2019	8	27	2019	8	27	0.002816899	1	0.002816901	1	-810	-28.87	-27.21	-9659.55	-287550	-10248.85	-9659.55	-810	-28.87	-27.21	-837.21	-35.21	-297209.3	NGN	USD	-297209.3	-837.21	-12500	-35.21	-287550	-10248.85	-12500	3.25	S	IMTR	MTRN		Change in Currency	INTL REPROCESS	CUR	REP	W
9493753732	A	NGN	LATVIA	NIGERIA	ADH151745	220	FCMB - #189 - WUSE ZONE 4 ABUJA - ZONE 4	O	ZONE 4 Plot 532, IBB Way, Wuse 4	NGN	2019	8	26	2019	8	26	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	0.002816901	0.900414183	0.002816901	0.90306583	807.63	28.87	29.58	10500.9	286708.65	10248.85	10500.9	729.34	26.07	26.71	837.21	35.21	297209.3	NGN	EUR	297209.3	756.06	12500	31.8	286708.65	10248.85	12500	3.25	S	IMTR	MTRN		Change in Currency	INTL REPROCESS	CUR	REP	S
0018934943	T	NGN	NIGERIA	KENYA	ADH150524	58	FCMB - #033 - OTA - OTTA BRANCH	I	56 IDI-IROKO ROAD SANGO OTTA	NGN	2019	8	26	2019	8	26	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	0.009684199	355	0.009681479	355	-94.42	-0.09	0	0	-33519.76	-31.95	0	-33519.76	-31.95	0	96.81	0.49	34367.55	KES	NGN	10000	34367.55	50.48	173.95	-9752.64	-9.3	173.95	2.5	P	AVSS			UNKNOWN	UNKNOWN			S
9370927558	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH150809	101	FCMB - #079 - SURULERE - ADENIRAN OGUNSA	I	33 ADENIRAN OGUNSAYA STREET SURULERE	NGN	2019	8	26	2019	8	26	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	1	355	1	355	-547.52	-2.88	0	0	-194371.37	-1022.4	0	-194371.37	-1022.4	0	550	16	195250	USD	NGN	550	195250	16	5680	-547.52	-2.88	5680	0.45	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
2548682888	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH471010	-1	UNKNOWN	I		NGN	2019	8	26	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	1	355	1	355	-597.3	-2.88	0	0	-212041.5	-1022.4	0	-212041.5	-1022.4	0	600	16	213000	USD	NGN	600	213000	16	5680	-597.3	-2.88	5680	0.45	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
5946569613	T	NGN	UNITED STATES OF AMERICA	NIGERIA	ADH150777	106	FCMB - #058 - IBADAN BODIJA BRANCH	O	BODIJA ROAD IBADAN	NGN	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	0.002816899	1	0.002816901	1	201.68	12.7	6.77	2403.35	71596.4	4508.5	2403.35	201.68	12.7	6.77	208.45	15.49	74000	NGN	USD	74000	208.45	5500	15.49	71596.4	4508.5	5500	3.25	S	AASU			UNKNOWN	UNKNOWN			S
9328923631	T	NGN	NIGERIA	SOUTH AFRICA	ADH150546	86	FCMB - #050 - ADO EKITI - ADO-EKITI BRAN	I	ALONG SECRETARIAT ROAD	NGN	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	1	355	1	355	-58.65	-1.8	0	0	-20819.33	-639	0	-20819.33	-639	0	59	10	20945	USD	NGN	59	20945	10	3550	-58.65	-1.8	3550	0.6	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
7091358070	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH152878	252	FCMB - #257 - UGHELLI - UGHELLI BRANCH	I	UGHELLI 30 Ekiugbo.Warri Road {CR}	NGN	2019	8	23	2019	8	23	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	1	355	1	355	-398.2	-1.26	0	0	-141361	-447.3	0	-141361	-447.3	0	400	7	142000	USD	NGN	400	142000	7	2485	-398.2	-1.26	2485	0.45	P	AACS			UNKNOWN	UNKNOWN			S
8700259151	T	NGN	NIGERIA	GERMANY	ADH150931	111	FCMB - #086 - BENIN CITY - UGBOWO BRANCH	I	USELU UGBOWO EXPRESS ROAD	NGN	2019	8	26	2019	8	26	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	1.111699998	355	1.108537198	355	-318	-5.38	0	0	-112890.63	-1909.9	0	-112890.63	-1909.9	0	332.56	29.82	118058.8	EUR	NGN	300	118058.8	26.9	10586.1	-286.86	-4.85	10586.1	4.65	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
4218189290	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH151196	140	FCMB - #114 - AGEGE - AGEGE BRANCH	I	OLD  ABEOKUTA  EXPRESS ROAD OKO-OBA{CR}	NGN	2019	8	26	2019	8	26	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	1	355	1	355	-189.22	-0.17	0	0	-67173.1	-60.35	0	-67173.1	-60.35	0	200	5	71000	USD	NGN	200	71000	5	1775	-189.22	-0.17	1775	5.39	P	FTSS			UNKNOWN	UNKNOWN			S
0568730536	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH152043	228	FCMB - #237 - ABA - ABA BRASS ROAD BRANCH	I	BRASS ROAD 10, Brass Road	NGN	2019	8	26	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	1	355	1	355	-119.46	-1.8	0	0	-42408.3	-639	0	-42408.3	-639	0	120	9.99	42600	USD	NGN	120	42600	9.99	3546.45	-119.46	-1.8	3546.45	0.45	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
8744550343	T	NGN	ZAMBIA	NIGERIA	ADH152317	196	FCMB - #174 - AMUWO-ODOFIN - FESTAC TOWN	O	PLOT 1572 4TH AVE	NGN	2019	8	27	2019	8	27	2019	8	28	2019	8	28	2019	8	27	2019	8	27	2019	8	27	0.002816899	13.149999976	0.002816901	13.15	87.23	12.7	1.78	631.9	30966.65	4508.5	631.9	1147.12	167.01	23.41	89.01	15.49	31600	NGN	ZMW	31600	1170.48	5500	203.69	30966.65	4508.5	5500	2	S	IMTR	MTRN		UNKNOWN	UNKNOWN			S
9988647852	T	NGN	NIGERIA	GERMANY	ADH150492	180	FCMB - #014 - ABEOKUTA - ABEOKUTA BRANCH	I	21 LALUBU STR OKE ILEWO	NGN	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	1.110199987	355	1.107338985	355	-161.12	-1.88	0	0	-57196.81	-667.4	0	-57196.81	-667.4	0	166.1	10.41	58965.5	EUR	NGN	150	58965.5	9.4	3695.55	-145.5	-1.7	3695.55	3.25	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
5199537707	T	NGN	NIGERIA	BOTSWANA	ADH152252	234	FCMB - #248 - ONITSHA  - ONITSHA NEW MAR	I	NEW MARKET 2 53, New Market Road	NGN	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	2019	8	27	0.090149999	355	0.090049999	355	-430.85	-1.78	0	0	-152951.98	-631.9	0	-152951.98	-631.9	0	439.16	9.91	155901.8	BWP	NGN	4876.8	155901.8	110	3518.05	-4784.56	-19.77	3518.05	2	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
